brand_name,ulta_slug,peta,leaping_bunny,peta_status,parent_company,parent_cf,top_parent,top_parent_cf,notes,aliases
Azzaro,azzaro,FALSE,FALSE,not_found,L'Oréal SA,FALSE,,,Azzaro fragrances acquired from Clarins Group by L'Oréal 2020,
b.tan,btan,FALSE,FALSE,not_found,Marq Labs,UNKNOWN,,,Australian brand; also listed under Sarantis Group,
Babe Original,babe-original,FALSE,TRUE,not_found,,,,,Independent,
Baby Foot,baby-foot,FALSE,FALSE,not_found,Liberta Co. Ltd. (Japan),UNKNOWN,,,Japanese parent; KSSM LLC US distributor,
BaBylissPRO,babylisspro,FALSE,FALSE,not_found,Conair Corporation,UNKNOWN,,,Conair acquired BaByliss 1995,
Bali Body,bali-body,TRUE,FALSE,cf,,,,,Independent; Australian,
Balmain Paris,balmain-paris,FALSE,FALSE,not_found,,,,,Dutch Balmain Hair Couture; independent (unrelated to Balmain fashion house),
Banila Co,banila-co,FALSE,FALSE,not_found,F&F Co. (Korea),UNKNOWN,,,Korean fashion company,
Barbasol Shaving,barbasol-shaving,FALSE,FALSE,not_found,Perio Inc.,UNKNOWN,,,Family-owned; Perio Inc. acquired from Pfizer 2001,
Barberino's,barberinos,FALSE,FALSE,not_found,,,,,Italian men's grooming; parent unknown,
BarberMate,barbermate,FALSE,FALSE,not_found,,,,,Parent unknown,
bareMinerals,bareminerals,TRUE,FALSE,cf,Orveon Global,UNKNOWN,,,"Sold by Shiseido to Orveon/Advent International PE 2021; also owns Laura Mercier, BUXOM",
Barrière,barriere,FALSE,FALSE,not_found,,,,,Parent unknown,
Batiste,batiste,FALSE,FALSE,not_found,Church & Dwight,FALSE,,,"Acquired 2017; Church & Dwight also owns Hero, Touchland, Viviscal",
Baxter of California,baxter-of-california,FALSE,FALSE,not_found,Procter & Gamble,FALSE,,,Acquired by P&G 2011,
bdy.,bdy,FALSE,FALSE,not_found,Naterra,UNKNOWN,,,Tree Hut sister brand by Naterra,
Beachwaver Co.,beachwaver-co,FALSE,FALSE,not_found,,,,,Independent (Sarah Potempa),
BEAUND,beaund,FALSE,FALSE,not_found,,,,,Parent unknown,
Beautifect,beautifect,FALSE,FALSE,not_found,,,,,Parent unknown,
Beauty Core,beauty-core,FALSE,FALSE,not_found,,,,,Parent unknown,
Beauty Finds by ULTA Beauty,beauty-finds-by-ulta-beauty,FALSE,FALSE,not_found,Ulta Beauty,UNKNOWN,,,Ulta Beauty private label,
BeautyBio,beautybio,TRUE,FALSE,cf,,,,,Independent,
beautyblender,beautyblender,TRUE,FALSE,cf,,,,,Independent; founded by Rea Ann Silva (Rea.deeming Beauty),
BeautyStat Cosmetics,beautystat-cosmetics,FALSE,TRUE,not_found,,,,,Independent,
Bed Head,bed-head,FALSE,FALSE,not_found,Henkel,FALSE,,,TIGI Bed Head; Henkel acquired TIGI from Unilever 2023,
Beekman 1802,beekman-1802,TRUE,TRUE,cf,Eurazeo Brands,UNKNOWN,,,PE firm Eurazeo majority investment,
Before Oral Care,before-oral-care,FALSE,FALSE,not_found,,,,,Parent unknown,
being,being,TRUE,FALSE,cf,,,,,Parent unknown,
Bejou,bejou,FALSE,TRUE,not_found,,,,,Parent unknown,
belif,belif,FALSE,FALSE,not_found,LG Household & Health Care,FALSE,,,LG H&H brand; sells in China,
Benefit Cosmetics,benefit-cosmetics,FALSE,FALSE,not_cf,LVMH,FALSE,,,LVMH brand,
BETTER WORLD FRAGRANCE HOUSE,better-world-fragrance-house,FALSE,FALSE,not_found,,,,,Parent unknown,
BEVEL,bevel,FALSE,FALSE,not_found,Procter & Gamble,FALSE,,,P&G via Walker & Company acquisition 2018,
Bewants,bewants,FALSE,FALSE,not_found,,,,,Parent unknown,
Beyoncé Parfums,beyonce-parfums,FALSE,FALSE,not_found,Parkwood Ventures,UNKNOWN,,,Beyoncé's own company; 100% independent,
billie,billie,TRUE,FALSE,cf,Edgewell Personal Care,FALSE,,,Acquired by Edgewell 2021 ($310M),
Billie Eilish,billie-eilish,TRUE,FALSE,cf,Parlux Ltd.,UNKNOWN,,,Parlux licensed fragrance; Give Back Beauty; PETA-verified cruelty-free under Eilish Billie Eilish; Parlux parent status still unverified,
Bio Ionic,bio-ionic,TRUE,FALSE,cf,Beauty By Imagination (BBI),UNKNOWN,,,JD Beauty → ACON Investments → BBI,
Bio-Oil,bio-oil,FALSE,FALSE,not_found,Union Swiss Pty Ltd. (South Africa),UNKNOWN,,,South African parent company,
Bioderma,bioderma,FALSE,FALSE,may_not_be,NAOS Group,UNKNOWN,,,French private company,
Biolage,biolage,FALSE,FALSE,not_found,L'Oréal SA,FALSE,,,L'Oréal professional brand,
Bioré,biore,TRUE,FALSE,cf,Kao Corporation,FALSE,,,Kao brand; sells in China,
Biosilk,biosilk,FALSE,TRUE,not_found,Farouk Systems,UNKNOWN,,,Farouk Systems independent,
Bird&Be,bird-be,FALSE,FALSE,not_found,,,,,Parent unknown,
BK Beauty,bk-beauty,FALSE,FALSE,not_found,,,,,Parent unknown,
Black Girl Sunscreen,black-girl-sunscreen,TRUE,FALSE,cf,,,,,Independent; Black-owned,
BLACKWOOD FOR MEN,blackwood-men,TRUE,FALSE,cf,,,,,Parent unknown,
Blinc,blinc,TRUE,FALSE,cf,,,,,Independent; family-owned by Lewis Farsedakis since 1999; Boca Raton FL,
Blind Barber,blind-barber,FALSE,TRUE,not_found,,,,,"Independent; co-founders Jeff Laub, Josh Boyd et al; Bryce Harper partner",
Blissy,blissy,FALSE,FALSE,not_found,,,,,Independent; founder Vahe Haroutounian; silk pillowcases,
BLK/OPL,blkopl,FALSE,FALSE,not_found,,,,,Independent; Black-owned (Desiree Rogers & Cheryl Mayberry McKissack),
BLONDME,blondme,TRUE,FALSE,cf,Henkel,FALSE,,,BLONDME is a Schwarzkopf Professional brand under Henkel,
Bloom,bloom,TRUE,FALSE,cf,,,,,Parent unknown,
Bloomeffects,bloomeffects,FALSE,TRUE,not_found,,,,,Independent; co-founders Kim van Haaster and Monica Aurigemma; Dutch tulip skincare,
BLOSSOM,blossom,TRUE,TRUE,cf,,,,,Parent unknown,
Blossom Essentials,blossom-essentials,FALSE,TRUE,not_found,,,,,Parent unknown,
Blu Atlas,blu-atlas,FALSE,FALSE,not_found,Foundry,UNKNOWN,,,"Foundry (Dallas brand platform) acquired for 8-figures Jul 2023; also owns Stryx, Supply",
Blue Lagoon Skincare,blue-lagoon-skincare,FALSE,FALSE,not_found,,,,,Parent unknown,
BLUE LIZARD AUSTRALIAN SUNSCREEN,blue-lizard-australian-sunscreen,FALSE,FALSE,not_found,Crown Laboratories (Revance),FALSE,,,Crown Labs owned by Revance; publicly traded pharma,
BLUME,blume,FALSE,TRUE,not_found,,,,,Independent; VC-backed,
Blushly,blushly,FALSE,FALSE,not_found,,,,,Parent unknown,
BOBBI BROWN,bobbi-brown,FALSE,FALSE,not_cf,Estée Lauder Companies,FALSE,,,ELC brand,
Bondi Boost,bondi-boost,TRUE,FALSE,cf,,TRUE,,,Independent; Australian; PETA-verified cruelty-free under BondiBoost,BondiBoost
Bondi Sands,bondi-sands,TRUE,FALSE,cf,Kao Corporation,FALSE,,,Kao acquired 2023 ($450M); Kao sells in China,
Bonika Shears,bonika-shears,FALSE,FALSE,not_found,,,,,Parent unknown,
Borghese,borghese,FALSE,FALSE,not_found,,,,,Independent; Georgette Mosbacher; Saudi investors,
BREAD BEAUTY SUPPLY,bread-beauty-supply,FALSE,FALSE,not_found,CODB Holdings,UNKNOWN,,,Acquired by CODB (Olamide Olowe) April 2025,
Bridgerton,bridgerton,FALSE,FALSE,not_found,Coty,FALSE,,,Coty Cotylab licensed fragrance for Netflix Bridgerton; Coty sells in China,
Briogeo,briogeo,FALSE,TRUE,not_found,Henkel,FALSE,,,Acquired by Henkel 2022,
BRMUD,brmud,FALSE,FALSE,not_found,,,,,Parent unknown,
Bubble,bubble,FALSE,TRUE,may_not_be,,,,,Independent; founded by Shai Eisenman; VC-backed,
Bubble T,bubble-t,FALSE,FALSE,not_found,,,,,Parent unknown,
Bumble and bumble,bumble-bumble,TRUE,FALSE,cf,Estée Lauder Companies,FALSE,,,ELC brand,
Burberry,burberry,FALSE,FALSE,not_cf,Coty,FALSE,,,Coty beauty/fragrance license; Burberry fashion is Burberry Group,
Bushbalm,bushbalm,FALSE,TRUE,not_found,,,,,Independent; founder David Gaylord; Canadian brand,
Buttah Skin,buttah-skin,FALSE,FALSE,not_found,,,,,Independent; founder Dorion Renaud; Black-owned,
Buxom,buxom,TRUE,FALSE,cf,Orveon,UNKNOWN,,,Sold by Shiseido to Advent International → Orveon 2021,
By the Beach,by-beach,FALSE,FALSE,not_found,,,,,Parent unknown,
BYOMA,byoma,TRUE,FALSE,cf,Bansk Group,UNKNOWN,,,Acquired by Bansk Group Sept 2025 from Yellow Wood Partners,
BYROE,byroe,TRUE,FALSE,cf,,,,,Parent unknown,
Caboodles,caboodles,FALSE,FALSE,not_found,Plano Molding Co.,UNKNOWN,,,Plano Molding Co. HHS IP LLC; beauty organizers since 1987,
CAKES Body,cakes-body,FALSE,FALSE,not_found,,,,,Parent unknown,
Caldera + Lab,caldera-lab,TRUE,TRUE,cf,,,,,Parent unknown,
Caliber Beauty,caliber-beauty,FALSE,FALSE,not_found,,,,,Parent unknown,
California Naturals,california-naturals,FALSE,TRUE,not_found,,,,,Independent; founder Shelby Wild; Owen Wilson investor; affordable clean hair care,
Calvin Klein,calvin-klein,FALSE,FALSE,not_cf,Coty,FALSE,,,Coty fragrance license,
Camille Rose,camille-rose,FALSE,FALSE,not_found,,,,,Independent; founded by Janell Stephens,
Candier,candier,FALSE,FALSE,not_found,,,,,Independent; Candier by Ryan Porter; female-founded candles and accessories,
Capelli New York,capelli-new-york,FALSE,FALSE,not_found,,,,,Parent unknown,
Captain Fawcett,captain-fawcett,FALSE,FALSE,not_found,,,,,Parent unknown; UK grooming brand,
Carbon Theory.,carbon-theory,FALSE,FALSE,not_found,,,,,Independent; founder Philip Taylor; UK acne skincare,
Carol's Daughter,carols-daughter,TRUE,FALSE,cf,L'Oréal SA,FALSE,,,Acquired by L'Oréal 2014,
Carolina Herrera,carolina-herrera,FALSE,FALSE,may_not_be,Puig,UNKNOWN,,,Puig brand,
Carroten,carroten,FALSE,FALSE,not_found,,,,,Parent unknown,
Caswell-Massey,caswell-massey,TRUE,FALSE,cf,,,,,Independent,
Cayla Gray,cayla-gray,FALSE,TRUE,not_found,,,,,Independent; founder Kelly Kussman; Arizona fragrance and lifestyle brand,
CÉCRED,cecred,FALSE,FALSE,not_found,,,,,Independent; Beyoncé Knowles-Carter; 100% self-owned,
celimax,celimax,FALSE,FALSE,not_found,,,,,Independent Korean brand,
Cell Fusion C,cell-fusion-c,FALSE,FALSE,not_found,,,,,Parent unknown (Korean),
Centellian24,centellian24,FALSE,FALSE,not_found,,,,,Parent unknown (Korean),
CeraVe,cerave,FALSE,FALSE,may_not_be,L'Oréal SA,FALSE,,,Acquired by L'Oréal 2017,
Cetaphil,cetaphil,FALSE,FALSE,not_found,Galderma,FALSE,,,Galderma (IPO 2024; L'Oréal 20% stake); sells in China,
CHANEL,chanel,FALSE,FALSE,not_found,Chanel SA,UNKNOWN,,,Private French family company,
Charlotte Tilbury,charlotte-tilbury,FALSE,FALSE,may_not_be,Puig,UNKNOWN,,,Acquired by Puig 2020,
Chasin' Rabbits,chasin-rabbits,TRUE,FALSE,cf,,,,,Independent; vegan K-beauty,
CHI,chi,FALSE,TRUE,not_found,Farouk Systems,UNKNOWN,,,Farouk Systems independent; professional,
China Glaze,china-glaze,FALSE,TRUE,not_found,American International Industries,UNKNOWN,,,AII brand; family-owned,
Chloé,chloe,FALSE,FALSE,not_cf,Coty,FALSE,,,Coty fragrance license; Chloé fashion is Richemont,
Christophe Robin,christophe-robin,FALSE,FALSE,not_found,THG (The Hut Group),UNKNOWN,,,Acquired by THG 2019,
ChungMijung,chungmijung,FALSE,FALSE,not_found,,,,,Parent unknown (Korean),
Cinema Secrets,cinema-secrets,TRUE,FALSE,cf,,,,,Parent unknown,
Clairol,clairol,FALSE,FALSE,not_found,Wella Company (KKR),FALSE,,,Wella Company owns Clairol; KKR-owned since P&G spinoff 2020,
Clarins,clarins,TRUE,FALSE,cf,Clarins Group,UNKNOWN,,,French family-owned company (Courtin-Clarins),
CLE Cosmetics,cle-cosmetics,FALSE,TRUE,not_found,,,,,Independent; founder Lauren Jin; Korean-American brand,
Clean,clean,TRUE,FALSE,cf,,,,,Parent unknown (fragrance brand),
Clean Skin Club,clean-skin-club,TRUE,FALSE,cf,,,,,Parent unknown,
Clean Your Dirty Face,clean-your-dirty-face,FALSE,FALSE,not_found,,,,,Parent unknown,
Cleverman,cleverman,FALSE,TRUE,not_found,,,,,Parent unknown,
Clinique,clinique,FALSE,FALSE,not_found,Estée Lauder Companies,FALSE,,,ELC brand,
clöud café,cloud-cafe,FALSE,FALSE,not_found,,,,,Parent unknown,
CND,cnd,FALSE,FALSE,not_found,Revlon,FALSE,,,Acquired by Revlon 2013 via Colomer Group,
CNP Laboratory,cnp-laboratory,FALSE,FALSE,not_found,LG Household & Health Care,FALSE,,,LG H&H brand (CNP is an LG H&H subsidiary); sells in China,
Coach,coach,FALSE,FALSE,not_found,Inter Parfums,UNKNOWN,,,Inter Parfums fragrance license,
Coco & Eve,coco-eve,FALSE,FALSE,not_found,Gauge Capital (Soleil Collective),UNKNOWN,,,PE majority stake 2024; Australian brand,
cocokind,cocokind,FALSE,TRUE,not_found,,,,,Independent; VC-backed,
CODEAGE,codeage,FALSE,FALSE,not_found,,,,,Parent unknown,
Codex Labs,codex-labs,FALSE,TRUE,not_found,Independent (Codex Labs Corporation),TRUE,,,Parent unknown; Founder Dr. Barbara Paldus; LB cert under Codex Labs Corporation,
Color Wow,color-wow,FALSE,FALSE,not_found,L'Oréal SA,FALSE,,,Acquisition announced June 2025; pending regulatory close,
ColourPop,colourpop,TRUE,FALSE,cf,Seed Beauty,UNKNOWN,,,Seed Beauty (Laura & John Nelson),
Conair,conair,TRUE,FALSE,cf,Conair Corporation,UNKNOWN,,,Private company,
Conair Accessories,conair-accessories,FALSE,FALSE,not_found,Conair Corporation,UNKNOWN,,,Same parent as Conair,
Contently,contently,FALSE,FALSE,not_found,,,,,Parent unknown,
COOLA,coola,TRUE,FALSE,cf,SC Johnson,FALSE,,,Acquired by SC Johnson 2019,
CORPUS,corpus,TRUE,TRUE,cf,,,,,Parent unknown,
Cosnori,cosnori,FALSE,FALSE,not_found,,,,,Independent Korean brand,
COSRX,cosrx,FALSE,FALSE,may_not_be,AmorePacific,FALSE,,,AmorePacific subsidiary 2023; sells in China,
CoverGirl,covergirl,FALSE,TRUE,not_found,Coty,FALSE,,,Coty brand,
Crave,crave,FALSE,FALSE,not_found,,,,,Parent unknown,
Cricket,cricket,FALSE,FALSE,not_found,,,,,"Independent; family-owned for 3 generations; The Cricket Company, Novato CA",
CROC,croc,FALSE,FALSE,not_found,,,,,Parent unknown,
CRVFT,crvft,FALSE,FALSE,not_found,,,,,Parent unknown,
Cure Hydration,cure-hydration,FALSE,FALSE,not_found,,,,,Independent; founder Lauren Picasso; VC-backed; clean electrolyte brand,
CurlMix,curlmix,FALSE,FALSE,not_found,,,,,Independent; Black-owned,
Curlsmith,curlsmith,FALSE,TRUE,not_found,Helen of Troy,FALSE,,,Acquired by Helen of Troy 2022 ($150M),
Cutting Edge,cutting-edge,FALSE,FALSE,not_found,,,,,Parent unknown,
Cymbiotika,cymbiotika,FALSE,FALSE,not_found,,,,,Independent; founders Shahab and Durana Elmi; L Catterton minority investor,
d'Alba Piedmont,dalba-piedmont,FALSE,FALSE,not_found,,,,,Independent Korean brand,
Daeng Gi Meo Ri,daeng-gi-meo-ri,FALSE,FALSE,not_found,,,,,Parent unknown (Korean),
Daily Habits,daily-habits,FALSE,FALSE,not_found,,,,,Parent unknown,
DAISE,daise,FALSE,FALSE,not_found,,,,,Parent unknown,
Dashing Diva,dashing-diva,TRUE,FALSE,cf,KMC Exim,UNKNOWN,,,KMC Exim (Korean nail manufacturer); founded 1998 by John Chang,
dearcloud,dearcloud,FALSE,FALSE,not_found,,,,,Parent unknown (Korean),
Decorté,decorte,FALSE,FALSE,not_found,Kosé Corporation,FALSE,,,Kosé brand; sells in China,
Dehiya Beauty,dehiya-beauty,FALSE,TRUE,not_found,,,,,Parent unknown,
Denman,denman,FALSE,FALSE,not_found,,,,,Independent UK brush brand (Denman International),
Dēp Slēpwear,dep-slepwear,FALSE,FALSE,not_found,,,,,Parent unknown,
DERMA E,derma-e,FALSE,TRUE,not_found,Topix Pharmaceuticals,UNKNOWN,,,Acquired 2018; Topix backed by New Mountain Capital PE,
Dermablend,dermablend,TRUE,FALSE,cf,L'Oréal SA,FALSE,,,L'Oréal brand,
DERMAFLASH,dermaflash,FALSE,FALSE,not_found,DD Karma,UNKNOWN,,,DD Karma is parent; Guthy-Renker Ventures equity investor 2017; founded by Dara Levy,
Dermalogica,dermalogica,TRUE,TRUE,cf,Unilever,FALSE,,,Acquired by Unilever 2015,
Dermasuri,dermasuri,FALSE,FALSE,not_found,,,,,Parent unknown,
Dermelect,dermelect,TRUE,FALSE,cf,Independent,TRUE,,,Parent unknown; Founder Amos Lavian; PETA-verified cruelty-free,
Design Essentials,design-essentials,TRUE,FALSE,cf,McBride Research Laboratories,UNKNOWN,,,Black-owned independent company,
DevaCurl,devacurl,TRUE,TRUE,cf,Henkel,FALSE,,,Acquired by Henkel 2019,
DHC,dhc,FALSE,FALSE,not_found,Orix Corporation (Japan),UNKNOWN,,,Orix acquired DHC 2023,
Diamond Drunk,diamond-drunk,TRUE,FALSE,cf,,,,,Parent unknown,
Diane,diane,FALSE,FALSE,not_found,Fromm International (Firelight Capital),UNKNOWN,,,Fromm International acquired by Firelight Capital PE Jan 2024; Diane is Fromm brand,
DIBS Beauty,dibs-beauty,FALSE,TRUE,not_found,,,,,"Independent; co-founders Courtney Shields, Jeff Lee, Ken Landis; L Catterton minority investor",
Differin,differin,FALSE,FALSE,not_found,Galderma,FALSE,,,Galderma brand,
DIGI Beauty,digi-beauty,FALSE,FALSE,not_found,,,,,Parent unknown,
DIME,dime,TRUE,TRUE,cf,,,,,Independent; founders Baylee Relf and Mitch Casey; Trilantic Capital investor,
Dionis,dionis,FALSE,TRUE,not_found,Independent (Dionis Inc.),TRUE,,,Parent unknown; Family-owned NJ goat milk skincare; LB cert under Dionis Goat Milk Skincare,
Dior,dior,FALSE,FALSE,not_found,LVMH,FALSE,,,LVMH brand,
Divi,divi,TRUE,TRUE,cf,,TRUE,,,Independent; Dani Austin founder; Norwest minority investor; LB cert under Divi Official,
DKNY,dkny,FALSE,FALSE,not_found,Estée Lauder Companies,FALSE,,,ELC fragrance license,
Dolce Glow,dolce-glow,FALSE,FALSE,not_found,,,,,Independent; founder Isabel Alysa; Miley Cyrus investor,
Dolce&Gabbana,dolce-gabbana,FALSE,FALSE,not_found,Dolce & Gabbana,UNKNOWN,,,D&G brought beauty fully in-house 2022; previously Shiseido license,
Doll 10,doll-10,TRUE,FALSE,cf,,,,,Parent unknown,
Donna Karan,donna-karan,FALSE,FALSE,not_cf,Estée Lauder Companies,FALSE,,,ELC fragrance license,
DONNA'S RECIPE,donnas-recipe,FALSE,FALSE,not_found,,,,,Parent unknown,
Doré,dore,TRUE,TRUE,cf,,,,,Independent,
dpHUE,dphue,FALSE,TRUE,not_found,,,,,Independent; Prelude Growth Partners minority investment,
"Dr Rossi, Derm MD",dr-rossi-derm-md,FALSE,FALSE,not_found,,,,,Parent unknown,
Dr Teal's,dr-teals,FALSE,FALSE,may_not_be,PDC Brands (CVC Capital Partners),FALSE,,,CVC PE acquired PDC Brands 2018,
Dr. Althea,dr-althea,FALSE,FALSE,not_found,,,,,Independent Korean brand,
Dr. Brandt,dr-brandt,TRUE,FALSE,cf,,,,,Independent; Stephane Colleu owner/CEO,
Dr. Melaxin,dr-melaxin,FALSE,FALSE,not_found,,,,,Parent unknown (Korean),
Dr. PAWPAW,dr-pawpaw,TRUE,FALSE,cf,,,,,Parent unknown (UK),
Dr. Squatch,dr-squatch,TRUE,FALSE,cf,Unilever,FALSE,,,Acquired by Unilever June 2025,
DRMTLGY,drmtlgy,FALSE,TRUE,not_found,,,,,Parent unknown,
Drowsy,drowsy,FALSE,FALSE,not_found,,,,,Parent unknown,
Drunk Elephant,drunk-elephant,TRUE,TRUE,cf,Shiseido,FALSE,,,Acquired by Shiseido 2019 ($845M); Shiseido sells in China,
Drybar,drybar,FALSE,TRUE,not_found,Helen of Troy,FALSE,,,Acquired by Helen of Troy 2020,
Dryope,dryope,FALSE,FALSE,not_found,,,,,Parent unknown,
DS Laboratories,ds-laboratories,FALSE,FALSE,not_found,Megalabs,UNKNOWN,,,Megalabs (Latin American pharma) acquired majority 2024,
DUFT & DOFT,duft-doft,FALSE,FALSE,not_found,,,,,Parent unknown (Korean),
Duke Cannon Supply Co,duke-cannon-supply-co,FALSE,FALSE,not_found,Main Post Partners,UNKNOWN,,,Main Post Partners PE acquired Dec 2020,
DUNE SUNCARE,dune-suncare,FALSE,FALSE,may_not_be,,,,,Parent unknown,
Duo Toothpaste,duo-toothpaste,FALSE,FALSE,not_found,,,,,Parent unknown,
Dyson,dyson,FALSE,FALSE,not_found,Dyson Ltd.,UNKNOWN,,,Private company; James Dyson,
e.l.f. Cosmetics,elf-cosmetics,TRUE,TRUE,cf,,,,,Independent; e.l.f. Beauty Inc. (NYSE: ELF),
