brand_name,aliases,peta,leaping_bunny,parent_company,parent_peta,parent_lb,parent_sells_china,parent_status,cf_verdict,notes,confidence
2E Nail Supply,2E Organic,TRUE,FALSE,Independent,,,no,independent,certified-clean,Norcross GA (4220 Steve Reynolds Blvd). PETA slug is /company/2e-organic/ — '2E Organic' is the registered PETA name. Spa pedicure kits and organic nail care.,medium
2kcommerce,,TRUE,FALSE,Unknown,,,unknown,unknown,needs-review,"Extremely limited public footprint. PETA-licensed (designated L). Likely an e-commerce entity selling beauty products. No website, founder, or parent company found. Flag for manual outreach.",low
2nd Love Cosmetics,2nd Love,TRUE,FALSE,Independent,,,no,independent,certified-clean,LA-based makeup brand. Self-described '2nd generation cosmetics company' suggesting family-owned. No corporate parent.,medium
2SHERO KOZMETIK IMALAT TIC,Shero Cosmetic,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Turkish cosmetics company (Istanbul), founded by Sevda Balkan. NOTE: Do NOT confuse with Shero Cosmetics Co. Ltd (Taiwan OEM/ODM) — completely separate company.",medium
305 Care,,TRUE,FALSE,Unknown,,,unknown,unknown,needs-review,"Likely Miami-area indie (305 = Miami area code). Very limited public presence. No website, founder, or corporate info found. Flag for manual follow-up.",low
3107 Skincare,3107 London,TRUE,FALSE,Independent,,,no,independent,needs-review,"Founded by Dija Ayodele, London. UK registered company (co. #09561941) was DISSOLVED 26 March 2019. PETA listing still active. Current legal entity status unknown — may operate as sole trader. Dija Ayodele also founded Black Skin Directory.",medium
365 by Whole Foods Market,365 Everyday Value; WFM 365; Whole Foods Market 365,TRUE,TRUE,Amazon Inc,yes,,no,gray,certified-gray,Amazon acquired Whole Foods Aug 2017 (~$13.7B). 365 = Whole Foods private-label store brand (est. 1997). Amazon has China operations (Amazon.cn) but Whole Foods/365 has no China stores and no evidence of China cosmetics retail. Amazon Premium Products is separately PETA-certified. Most CF authorities treat 365 as clean. LB certified since 2021.,high
3INA,3INA Makeup; 3INA Cosmetics; pronounced Mee-Nah,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Founded by Pablo Rivera & Mark Eve, Spain/UK. First colour cosmetics brand to achieve B Corp certification (2024). 40+ countries. Confirmed does not sell in mainland China or countries requiring animal testing by law.",high
3M,Minnesota Mining and Manufacturing (historical),TRUE,FALSE,3M Company,no,no,yes,bad,data-error,"FLAG: This is almost certainly a database error. The 3M Company (multinational, NYSE: MMM) is on PETA's DOES-TEST list, operates 12 China subsidiaries since 1984, and is confirmed NOT cruelty-free by Cruelty-Free Kitty and others. PETA lists 3M in its non-animal testing science consortium (PISC) which is NOT the same as CF certification. This PETA entry requires manual investigation — may be a tiny unrelated brand sharing the '3M' name, or a scraper error.",high
3rd + Fairfax Beauty,,FALSE,TRUE,Independent,,,unknown,independent,certified-clean,"Small LA-based brand (~2018), inspired by Farmers Market at 3rd & Fairfax. Facial oils, serums, cleansers. LB confirmed. No corporate parent.",medium
4-Legger,,FALSE,TRUE,Independent,,,no,independent,certified-clean,"Women-owned independent. USDA Certified Organic dog shampoo and pet grooming. LB certified since 2017, re-certifies annually.",high
4EVER MAGIC COSMETICS,4Ever Magic Cosmetics,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Founded by Ravit Darougar (Founder & CEO), 2018. Self-funded. PETA-certified vegan. Patent-holding founder. No corporate parent.",high
4Kelp™,4KELP,FALSE,TRUE,Kelp Skincare LLC,,,no,independent,certified-clean,Trademark held by Kelp Skincare LLC. Very new brand (TM filed Oct 2024). Kelp forest conservation mission. Men's clean skincare. LB certified.,medium
4organic,4ORGANIC,TRUE,FALSE,4MYOrganic Sp. z o.o. Sp.k.,,,no,independent,certified-clean,"Polish natural cosmetics brand (Warsaw, KRS 0000557397). Children's and adult skincare. Nordic Swan certified. PETA-certified.",medium
4ourclimate,,TRUE,FALSE,Unknown,,,unknown,unknown,needs-review,"PETA-certified but no website, founder, country, or corporate info found despite multiple searches. Likely small sustainability-focused brand. Flag for manual follow-up.",low
4peoplewhocare UG,forpeople; 4peoplewhocare GmbH,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Founded ~2020 by Fritz Hinrichsmeyer & Marc, Hamburg. Rebranded consumer-facing to 'forpeople' in 2025. Legal entity upgraded from UG to GmbH. Solid/waterless cosmetics. Natrue certified. PETA-certified.",high
5 SENS Inc.,5 Sens; Cinq Sens,FALSE,TRUE,Independent,,,no,independent,certified-clean,"Founded by Divya Gugnani (also co-founded Wander Beauty). Fine fragrance, LB certified since 2022. Sold at Sephora. BIPOC and female-founded.",high
5 Star Shave Club,5StarShaveClub; 5 Star Shave,TRUE,FALSE,5 Star Ventures LLC,,,no,independent,certified-clean,5 Star Ventures LLC (independent). Single-blade safety razor subscription. NOT related to Dollar Shave Club (Unilever).,high
66°30,6630,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Founded 2007 by Didier Arthaud. Men's organic skincare, made in Brittany France. No corporate parent.",medium
6th Floor Beauty,,TRUE,FALSE,6TH FLOOR BEAUTY LIMITED,,,no,independent,certified-clean,"UK co. #11291881, founded by Matthew Zussman. Professional strip lash and lash extension brand. Independent.",medium
707 Flora,,TRUE,FALSE,707 Flora LLC,,,no,independent,certified-clean,"Founded by Joan Sutton (CEO, former Lancôme) & Wesley Titus. CBD/hemp skincare. Independent LLC. No China distribution.",high
760 Skin,760Skin,FALSE,TRUE,Independent,,,no,independent,certified-clean,Founded June 2021 by sisters Madison & Mia Heckmann and Olivia Halton. Named after Palm Springs area code 760. Desert-inspired skincare. LB certified.,high
77Skin,77SKIN,FALSE,TRUE,Independent,,,no,independent,certified-clean,Canada-based. Science-driven minimalist skincare. Developed with Korean labs. LB certified. Limited public ownership info.,medium
786 Cosmetics,,TRUE,TRUE,Invent Inc,,,no,independent,certified-clean,"Parent: Invent Inc (Schaumburg IL), small indie multi-brand holding co. (also owns Jolie Vegan, Boxed Halal, etc.). Founded by Ibrahim Ali & Iqra Isphahani. Halal breathable nail polish. Both PETA + LB certified. Made in USA. No China distribution.",high
7elements,7 elements; Elements 7,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Greek brand (Sérres, Greece; 7elements.gr). Organic plant oils. NOTE: Do NOT confuse with '7Elements Dead Sea' (Genesis Venture Supply, US) — separate company.",medium
7th Heaven,Montagne Jeunesse; 7th Heaven by Montagne Jeunesse,FALSE,TRUE,Montagne Jeunesse International Limited,,yes,no,independent,certified-clean,"Montagne Jeunesse Intl Ltd = family-owned UK company, Port Talbot Wales, founded 1985 by Gregory Butcher OBE. LB and PETA certified. Brand EXPLICITLY does not sell in mainland China or countries requiring animal testing. PDC Brands ownership rumor: NO EVIDENCE — multiple searches found no acquisition. Family-owned status maintained.",high
8 FACES,8 Faces Beauty; 8facesbeauty,FALSE,TRUE,Independent,,,no,independent,certified-clean,"Founded 2016 by Beth Shuman (former TV producer), Canada. Single-hero Boundless Solid Oil. Featured in Goop, Vogue, Vanity Fair. LB certified.",medium
82°E,82E; eighty-two east,TRUE,FALSE,DPKA Universal Consumer Ventures Pvt Ltd,,,no,independent,certified-clean,"DPKA Universal Consumer Ventures Pvt Ltd (Mumbai, CIN U24290MH2021PTC359971). Co-founded by Deepika Padukone & Jigar K. Shah 2021. India-focused, US distribution via PCA Companies. PETA-certified. WATCH: Nykaa (FSN E-Commerce) in acquisition talks as of Apr 2026 — deal not finalized. Nykaa itself is PETA-certified and India-focused with no China cosmetics retail.",medium
8Greens,8 Greens,TRUE,FALSE,Grove Collaborative (acquired Mar 2025),,,no,independent,certified-clean,"Acquired by Grove Collaborative (GROV, publicly traded) Mar 2025. Grove is US-only sustainable retail, LB certified on own products. No China presence. CF status intact.",medium
A Girl's Gotta Spa!,A Girls Gotta Spa,FALSE,TRUE,Independent,,,no,independent,certified-clean,Small indie spa/bath brand. LB certified. No corporate parent.,medium
A Good Fur Day,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Pet grooming/care brand. PETA certified. Independent.,medium
A House on the Moon,,FALSE,TRUE,Independent,,,no,independent,certified-clean,Small indie LB-certified brand. No corporate parent found.,low
A Joy Forever Bath + Body,A Joy Forever,FALSE,TRUE,Independent,,,no,independent,certified-clean,Small indie bath/body brand. LB certified.,low
A La Maison de Provence,A La Maison,FALSE,TRUE,Independent,,,no,independent,certified-clean,French-style bath/body brand. LB certified. Independent.,medium
A Perfume Organic,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Organic fragrance brand. PETA certified. Independent.,medium
A Touch of Class Beauty,,TRUE,FALSE,Independent,,,no,independent,needs-review,PETA-listed. Very limited public footprint; possible micro-brand or sole trader. No parent found. Flag for follow-up.,low
A Wild Soap Bar,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Artisan soap maker. PETA certified. Independent.,medium
A.P. CHEM,AP CHEM,TRUE,TRUE,Independent,,,no,independent,certified-clean,Chemistry-focused skincare. Both PETA + LB certified. Independent.,medium
A.W.Faber-Castell S.A,Faber-Castell Cosmetics,TRUE,FALSE,A.W. Faber-Castell GmbH (Germany),,,no,independent,certified-clean,Brazilian cosmetics division (faber-castell-cosmetics.com) of German family-owned Faber-Castell GmbH. PETA certified. No China cosmetics sales found.,high
A&R Bath Shop,A and R Bath Shop,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie bath shop. PETA certified.,low
A2V,,TRUE,FALSE,Unknown,,,unknown,unknown,needs-review,"A2V appears to be a B2B product development/manufacturing firm (UK), not a direct consumer brand. Scope of PETA pledge unclear. Flag for clarification.",low
A2Z Beauty,,FALSE,TRUE,Independent,,,no,independent,certified-clean,LB certified beauty brand. Limited online info; appears independent.,low
Aaryanveda,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Indian Ayurvedic beauty brand. PETA certified. Independent.,medium
AB Living Essentials,,FALSE,TRUE,Independent,,,no,independent,certified-clean,Small indie LB-certified brand.,low
ABATURE,,TRUE,FALSE,Unknown,,,unknown,unknown,needs-review,No public website or corporate info found. Flag for manual follow-up.,low
Abbey Essentials,,FALSE,TRUE,Independent,,,no,independent,certified-clean,Small indie LB-certified brand.,low
Abbot Kinney Apothecary,Abbott Kinney Apothecary,FALSE,TRUE,Los Angeles Brands (Burbank CA),,,no,independent,certified-clean,"Men's grooming. Owned by Los Angeles Brands, a small multi-brand portfolio company (not a bad/gray conglomerate). LB certified.",medium
Abbott,Abbott NYC,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Abbott NYC — small eco-driven beauty brand, NOT Abbott Laboratories (pharma). PETA certified vegan + CF. Independent.",high
ABBY & FINN,Abby and Finn,TRUE,FALSE,Melodiol Global Health (ASX: ME1; acquired Jan 2023),,,no,independent,needs-review,"Founded by Amanda Little; acquired Jan 2023 by Melodiol Global Health (ASX-listed cannabis/wellness co., not a cosmetics conglomerate). PETA cert predates acquisition — verify cert still active under new owner.",medium
Abby Rose Skin Care,,TRUE,TRUE,Independent,,,no,independent,certified-clean,Both PETA + LB certified. Independent skincare brand.,medium
Abel Fragrance,Abel,TRUE,FALSE,Independent,,,no,independent,certified-clean,New Zealand natural fragrance brand. Founded by Frances Shoemack. PETA certified. Independent. No China distribution.,high
ABELA,,TRUE,FALSE,Unknown,,,unknown,unknown,needs-review,No public website or distinctive corporate info found for this brand. Flag for manual follow-up.,low
Abercrombie & Fitch,A&F; Abercrombie,TRUE,FALSE,Abercrombie & Fitch Co. (NYSE: ANF),,,yes,gray,certified-gray,"A&F Co. has 26+ physical stores in China + Tmall. Sells fragrances in China. Post-2021 reform, fragrances are 'general cosmetics' exempt from mandatory animal testing. PETA still lists. China retail presence is flagged but product type is likely exempt. Has explicit Animal Welfare Policy.",medium
Abhati Suisse,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Swiss sustainable beauty brand. PETA certified. Independent.,medium
Abici,Abicì,TRUE,FALSE,Independent,,,no,independent,certified-clean,Italian indie beauty brand. PETA certified.,medium
Able Skincare,,TRUE,FALSE,Independent,,,no,independent,certified-clean,PETA certified skincare brand. Independent.,medium
Abloom Skin Care,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie skincare. PETA certified.,low
About Me,,TRUE,FALSE,Samyang Corporation (South Korea),,,unknown,gray,needs-review,About Me is Samyang Group's beauty brand. Samyang is a large Korean conglomerate (food/chemicals/biomedical). Not on standard bad-parent list but China cosmetics sales status unclear. Needs deeper investigation.,medium
About Time We Met,,TRUE,FALSE,Quintis Sandalwood (ASX-listed; in receivership/administration 2024),,,no,independent,needs-review,Brand created by Quintis Sandalwood. Quintis entered receivership 2024 (FTI Consulting administration). Brand CF status appears intact but corporate future uncertain. Monitor.,medium
about-face,about face,TRUE,FALSE,Independent,,,no,independent,certified-clean,Makeup brand founded by Halsey (singer). 100% vegan + CF. PETA certified. Sold at Ulta. Independent. Also launched sister brand af94 (budget line at Walmart).,high
aboutface,about-face,TRUE,FALSE,Independent,,,no,independent,needs-review,PETA has a distinct listing for 'aboutface' (no hyphen) separate from about-face (Halsey). Brand identity unconfirmed — could be different regional brand or PETA alias. Needs manual identity verification.,low
Abra Therapeutics,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Herbal bath/body therapeutics brand. PETA certified. Independent.,medium
ABRIGA,,TRUE,FALSE,"Independent (ABRIGA Group, Poland)",,,no,independent,certified-clean,Polish cosmetics holding/brand group. PETA certified. No China retail presence found. Not part of any major conglomerate.,medium
Absolute Green,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie green beauty brand. PETA certified.,low
Absolute Miracle,,TRUE,FALSE,Unknown,,,unknown,unknown,needs-review,Multiple brands share this name. Cannot confirm which PETA lists. Flag.,low
Absolute New York,Absolute NY,TRUE,TRUE,Independent,,,no,independent,certified-clean,Founded 2013 by John Kim & Beronicka Kim. NYC-based budget cosmetics. Both PETA + LB. Independent.,high
Absolute Soap,Absolute Soap; formerly Product Body,TRUE,FALSE,Independent,,,no,independent,certified-clean,Formerly called 'Product Body.' Founded by Joanna Schmidt. Handmade vegan soaps/body products. PETA certified. Independent (Product Body was prior name not a parent company).,high
Absolutely Natural Inc,Absolutely Natural,FALSE,TRUE,Independent,,,no,independent,certified-clean,LB certified indie beauty brand.,low
Abstrax Labs,Abstrax,TRUE,FALSE,Independent,,,no,independent,certified-clean,Terpene science / cannabis-adjacent brand. PETA certified. Independent.,medium
Abura Cosmetics,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie cosmetics. PETA certified.,low
Abyssal Japan Co.,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Japanese beauty brand. PETA certified. Independent.,medium
abyssian,Abyssian Haircare,TRUE,FALSE,Independent,,,no,independent,certified-clean,Premium haircare. Founded by Sebastien Morin & Thierry Mandonnaud (French). PETA vegan + CF certified. No China distribution found.,medium
Acaderma,,FALSE,TRUE,Independent,,,no,independent,certified-clean,Clean cosmeceutical brand. LB certified. Independent.,medium
AcARRE,,FALSE,TRUE,Independent,,,no,independent,certified-clean,LB certified brand. Limited online info; appears independent.,low
ACE,ACE (BBI),TRUE,FALSE,Beauty by Imagination (BBI),yes,,no,independent,certified-clean,"Parent: Beauty by Imagination (BBI), owned by ACON Investments (PE). BBI portfolio: Wet Brush, Goody, Ouidad, Bio Ionic, CURLS — multiple PETA-certified. No China cosmetics sales concern.",high
Ace Beaute Cosmetics,Ace Beaute; Ace Beauté,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie cosmetics brand. PETA certified.,medium
Ace of Air,,FALSE,TRUE,Independent,,,no,independent,certified-clean,"Founded by Stephanie Stahl, Petra Nemcova & David Knowlton. Circular beauty model (returnable packaging). LB + B Corp certified. Independent.",high
Acherontia,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie brand (name = death's-head hawk moth). PETA certified.,low
Acmer,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie brand. PETA certified.,low
Act Of Being,Act of Being (Epic Beauty Brands),TRUE,FALSE,Epic Beauty Brands,,,no,independent,certified-clean,Parent: Epic Beauty Brands — small independent men's grooming brand builder. PETA certified. No China presence.,medium
actiMare,,TRUE,FALSE,Independent,,,no,independent,certified-clean,European indie brand. PETA certified.,low
Actium Plus,,TRUE,FALSE,Independent,,,no,independent,certified-clean,PETA certified brand. Limited info available.,low
Active Concepts,,TRUE,FALSE,Independent,,,no,independent,certified-clean,"B2B cosmetic ingredient supplier, PETA certified. Independent.",medium
Active Micro Technologies,,TRUE,FALSE,Independent,,,no,independent,certified-clean,B2B cosmetic ingredient supplier. PETA certified. Independent.,medium
ACTIVE NINE,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie brand. PETA certified.,low
Active Organic,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie organic brand. PETA certified.,low
Active Silver,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Silver-based antimicrobial skincare. PETA certified. Independent.,medium
Activist Skincare,,FALSE,TRUE,Independent,,,no,independent,certified-clean,Canadian indie skincare. LB certified. Independent.,medium
ACTIVOSCOSMETICOS,Ativos Cosméticos,TRUE,FALSE,Independent,,,no,independent,needs-review,PETA-certified. No website or corporate ownership confirmed. Portuguese/Brazilian small brand. Low discoverability warrants review.,low
Acure,Acure Organics,TRUE,TRUE,Better Planet Brands,,,no,independent,certified-clean,"Parent: Better Planet Brands (formerly Acure Organics). Family-founded (Jon & Kristy Guerra, Fort Lauderdale FL). Both PETA + LB certified. No PE/China concerns found.",high
Acuvue,,TRUE,FALSE,Johnson & Johnson (J&J MedTech / J&J Vision),,,yes,bad,needs-review,Acuvue = contact lenses (J&J Vision/MedTech). J&J consumer beauty spun off as Kenvue 2023; Kenvue/Neutrogena sell in China. Some sources state PETA flags J&J as testing. Contact lenses ≠ cosmetics but parent has China testing exposure. Flag.,medium
ADA TINA Cosméticos,ADA TINA,TRUE,FALSE,Independent,,,no,independent,certified-clean,Brazilian dermocosmetics brand. PETA certified. Independent.,medium
Adams Handmade Soap,Adam's Handmade Soap,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie artisan soap brand. PETA certified. Independent.,medium
ADC Hounstone & Co.,ADC Hounstone,TRUE,FALSE,Unknown,,,unknown,unknown,needs-review,No public website or corporate info found. Flag for manual follow-up.,low
Adcos,ADCOS,TRUE,FALSE,Independent,,,no,independent,certified-clean,Brazilian dermocosmetics brand (founded 1985). PETA certified. Independent.,medium
AddictaLash,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Indie lash brand. PETA certified.,low
Adélie et Cie,Adelie et Cie,TRUE,FALSE,Independent,,,no,independent,certified-clean,French indie brand. PETA certified.,low
Adelinda Cosmética Natural,Adelinda Natural,TRUE,FALSE,Independent,,,no,independent,certified-clean,Brazilian/Portuguese natural cosmetics. PETA certified. Independent.,low
Adept Cosmetics,,TRUE,FALSE,Independent,,,no,independent,certified-clean,PETA certified. Founded 2017 by Sandra & Tom. Indie alt makeup. EXPLICITLY refuses to sell in China (stated in brand policy). Mostly vegan.,high
aDesign,,TRUE,FALSE,Unknown,,,unknown,unknown,needs-review,Very generic name; cannot identify specific brand with confidence. Flag for manual follow-up.,low
Adessa,,TRUE,FALSE,"Independent (Adessa GmbH, Bavaria Germany)",,,no,independent,certified-clean,"100% vegan German cosmetics brand. Privately-owned family business, Bavaria, managed by Tanja & Torsten Merkl. PETA certified. Not a Rossmann private label.",high
Adesse New York,Adesse NY,TRUE,TRUE,Adesse Global Cosmetics LLC,,,no,independent,certified-clean,Founded by Suzanne Martens. Luxury gel-effect nail care. Both PETA + LB. Adesse Global Cosmetics LLC is independent.,high
Adezzo Beauty,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie beauty brand. PETA certified.,low
Adhome Co.,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie brand. PETA certified.,low
Adi Botany,,FALSE,TRUE,Independent,,,no,independent,certified-clean,Botanical indie brand. LB certified. Independent.,medium
Adli Gummies d/o/b Imaraïs Beauty,Imaraïs Beauty; Imaris Beauty,TRUE,FALSE,Healthy Extracts Inc. (acquired May 15 2026),,,no,independent,certified-clean,Imaraïs Beauty (vegan beauty gummies). Adli Gummies Inc. acquired by Healthy Extracts Inc. (small Canadian/US wellness co.) May 15 2026. Not a bad/gray conglomerate. PETA certified.,high
Admire My Skin,,FALSE,TRUE,Digital Beauty Group LLC,,,no,independent,certified-clean,"Parent: Digital Beauty Group LLC (Craig & Amy Romero, Florida). Derm-grade skincare, FDA-certified US lab, Inc. 5000 ranked. LB certified. Independent.",high
ADOREYES,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Eye area cosmetics and care products. PETA certified. Independent.,medium
Adorn Cosmetics,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Australian natural mineral makeup brand. PETA certified. Independent.,medium
ADVANAGE Diversified Products,Advanage,TRUE,FALSE,Independent,,,no,independent,certified-clean,Concentrated household/multi-purpose cleaner. PETA certified. Independent.,medium
Adversa,,TRUE,FALSE,Unknown,,,unknown,unknown,needs-review,No public website or corporate info confirmed. Flag for manual follow-up.,low
AdvoCANNA,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Cannabis/CBD-adjacent wellness brand. PETA certified. Independent.,low
AEGIS PHARMA,Aegis Pharma,TRUE,FALSE,Unknown,,,unknown,unknown,needs-review,Pharma-adjacent brand on PETA list. Cannot confirm which specific entity. Flag for manual follow-up.,low
AEMBR,,FALSE,TRUE,Independent,,,no,independent,certified-clean,LB certified indie brand.,low
Aeonia by Delavie Sciences,Aeonia; Delavie Sciences,FALSE,TRUE,Independent,,,no,independent,certified-clean,Longevity/anti-aging skincare. LB certified. Delavie Sciences is the parent indie company. Independent.,medium
AER,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Body care/deodorant brand. PETA certified. Independent.,medium
Aesop,,TRUE,FALSE,L'Oréal,,,yes,bad,certified-gray,Acquired by L'Oréal in 2023. L'Oréal sells cosmetics in China requiring animal testing. Aesop itself is cruelty-free (PETA) but parent L'Oréal is a bad-parent corporation.,high
Aesthetica Cosmetics,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Indie makeup brand. PETA certified. Independent.,medium
Aeston West,,FALSE,TRUE,Independent,,,no,independent,certified-clean,Small indie LB-certified brand.,low
Aevi Wellness,,FALSE,TRUE,Independent,,,no,independent,certified-clean,Wellness/CBD brand. LB certified. Independent.,low
af94,af 94,TRUE,FALSE,Independent,,,no,independent,certified-clean,Halsey's second makeup brand; affordable 'bratty younger sibling' to about-face. Sold at Walmart. 100% vegan + CF. PETA certified. Independent.,high
Afari Skincare,,TRUE,FALSE,Independent,,,no,independent,certified-clean,Small indie skincare. PETA certified.,low
AFETO NATURAL,Afeto Natural,TRUE,FALSE,Independent,,,no,independent,certified-clean,Brazilian natural beauty brand. PETA certified.,low
